id,epic,role,i_want_to,so_that,acceptance_criteria,status,priority
E14-US005,Rule Management,Tax SME,Add NL/EN/FA content to every rule,Three-language parity is maintained,All three plains required; validation error if any missing,backlog,medium
E14-US006,Rule Management,Tax SME,Run test cases against a rule,Logic is verified before publishing,rule_test_cases run; results shown; fail = blocked from publishing,backlog,medium
E14-US007,Rule Management,Firm manager,Approve a rule update,Four-eyes principle is enforced,Approve button; requires role = firm_manager or tax_sme (different from author),backlog,medium
E14-US008,Rule Management,Admin,Publish an approved rule,It goes live in RAG,verification_status → verified; build_index.py queued to re-embed,backlog,medium
E14-US009,Rule Management,Tax SME,Supersede an old rule with a new one,Prior year rules are linked,supersedes field points to old rule_id,backlog,medium
E14-US010,Rule Management,Tax SME,View rule version history,I can track changes over time,All versions shown with diff view,backlog,medium
E14-US011,Rule Management,System,Shadow-test new rules on 1% of traffic,Rollout is safe,Shadow mode flag; result logged but not served to user,backlog,medium
E14-US012,Rule Management,Tax SME,Add test cases with expected outputs,Regression testing is automatic,test case stored; runs in CI via test_scenarios.py,backlog,medium
E14-US013,Rule Management,Admin,View all rules with filters,I have an overview of the rule set,"Filter by year, category, user_type, verification_status",backlog,medium
E14-US014,Rule Management,Tax SME,Export the full rule set to JSON,I have an offline reference,Exports tax_rules_{year}.json format (Phase 1 compatible),backlog,medium
E14-US015,Rule Management,System,Trigger RAG re-index after rule publish,New rule appears in retrieval immediately,build_index.py triggered automatically after publish; email confirmation,backlog,medium
E15-US001,Admin Console,Admin,View all firms with subscription status,I have operational oversight,"Table with firm, plan, usage, last_active; export to CSV",backlog,medium
E15-US002,Admin Console,Admin,Enable a feature flag for a specific firm,I roll out features gradually,Toggle per firm; effective within 5s,backlog,medium
E15-US003,Admin Console,Admin,Fulfill a DSAR access request,GDPR compliance is maintained,Export JSON of all data for the subject; link expires 72h,backlog,medium
E15-US004,Admin Console,Admin,Fulfill a DSAR erasure request,Right to be forgotten is honored,Soft-delete user + client; 90-day window; legal retention exceptions,backlog,medium
E15-US005,Admin Console,Admin,View the audit log filtered by firm,Full traceability per firm,"Filter by firm, user, action, date range",backlog,medium
E15-US006,Admin Console,Admin,Search audit log for a specific action,I investigate an incident,Text search across action and resource_type,backlog,medium
E15-US007,Admin Console,Admin,Create an incident record,Post-mortem tracking is in place,"Title, severity, description, affected_system required",backlog,medium
E15-US008,Admin Console,Admin,Update incident status,I track resolution,Status: open → investigating → resolved → closed,backlog,medium
E15-US009,Admin Console,Admin,View usage metrics across all firms,I monitor platform health,"AI calls, document count, engagement count per firm per month",backlog,medium
E15-US010,Admin Console,Admin,Impersonate a user for debugging,I can reproduce reported issues,Impersonation logged; session flagged as impersonated; time-limited,backlog,medium
E15-US011,Admin Console,Admin,View model and prompt versions in use,I track what AI is running in production,Table of model_versions + prompt_versions with deployed_at,backlog,medium
E15-US012,Admin Console,Admin,View the retention policy table,I know what data is kept how long,retention_policies CRUD; not deletable once created,backlog,medium
E15-US013,Admin Console,Admin,Send a platform-wide announcement,I notify all users of an important change,Message sent as in-app notification + email to all active users,backlog,medium
E15-US014,Admin Console,Admin,View real-time error rate from Sentry,I monitor deployment health,Embedded Sentry widget in admin console,backlog,medium
E15-US015,Admin Console,Admin,Rotate API keys for a firm's API client,A leaked key is invalidated,New secret generated; old one immediately revoked,backlog,medium
E16-US001,Annual Maintenance — Phase 9,Tax SME,Update tax_rules_{year}.json after Prinsjesdag,New year's rules are ready,All 28+ rules updated with new values; validate.py passes 100%,backlog,medium
E16-US002,Annual Maintenance — Phase 9,Tax SME,Update scenario expected values for new year,Calculator accuracy tests still pass,All 6 scenarios updated; test_scenarios.py passes with 0.0% error,backlog,medium
E16-US003,Annual Maintenance — Phase 9,System,Re-run validate.py automatically in CI,No broken data is deployed,CI job fails if validate.py < 100%,backlog,medium
E16-US004,Annual Maintenance — Phase 9,Tax SME,Re-build the RAG index with new rules,AI retrieves current-year rules,build_index.py run; precision@5 ≥ 95% confirmed,backlog,medium
E16-US005,Annual Maintenance — Phase 9,Tax SME,Archive prior-year rules,Old rules don't contaminate current-year queries,verification_status → archived; year filter in retriever excludes them,backlog,medium
E16-US006,Annual Maintenance — Phase 9,Tax SME,Create new checklist templates for the new year,Engagements for the new year use the right template,New templates: ZZP/employee/expat/DGA for year+1,backlog,medium
E16-US007,Annual Maintenance — Phase 9,Tax SME,Update IB form mapping for new year,Guide reflects any form changes,ib_form_mapping_{year}.json updated; validated,backlog,medium
E16-US008,Annual Maintenance — Phase 9,Firm manager,"See a ""2027 tax year ready"" banner",I know the system is prepared,Banner appears December 15 when all tests pass for new year,backlog,medium
E16-US009,Annual Maintenance — Phase 9,System,Never deploy new-year data before January 1,2026 rules only served in 2026,year filter enforced; effective_from = '2027-01-01' blocks premature serving,backlog,medium
E16-US010,Annual Maintenance — Phase 9,Tax SME,Stage new-year rules in shadow mode,Soft launch before January 1,Shadow mode serves new rules to 0% of traffic; test only,backlog,medium
E16-US011,Annual Maintenance — Phase 9,Tax SME,"Publish a ""What changed in {year}"" summary",Accountants understand new rules,Summary document in docs/ with diff table of changed values,backlog,medium
E16-US012,Annual Maintenance — Phase 9,System,Run the full test suite on the new year's data,No regressions,CI pipeline with new-year data: all gates pass,backlog,medium
E16-US013,Annual Maintenance — Phase 9,Admin,Create a new rule_sets row for the new year,Database is structured correctly,rule_sets.year = {year+1}; is_active = True from January 1,backlog,medium
E16-US014,Annual Maintenance — Phase 9,Tax SME,Update Q&A pairs for new year,Knowledge base reflects law changes,qa_pairs_{year+1}.json created; 12+ pairs; ground-truth rule_ids updated,backlog,medium
E16-US015,Annual Maintenance — Phase 9,Tax SME,Run a full regression across all personas,No persona is broken by new rules,All 4 persona calculator tests pass; AI responses sampled for quality,backlog,medium
